10	300
Andy_Dick	1	Simon_Yam	1001
Andy_Griffith	1	Osrat_Iosef	1001
Andy_Wisecarver	1	Dimitar_Berbatov	1001
Angela_Lansbury	1	Steven_Van_Zandt	1001
Angela_Lansbury	2	John_Coomber	1001
Ann_Veneman	6	Sergio_Garcia	1002
Ann_Veneman	8	Ted_Williams	1001
Annie-Jeanne_Reynaud	1	SJ_Twu	1001
Anthony_Carter	1	Eliza_Dushku	1001
Antonio_Cassano	1	Paul_Celluci	1001
Anwar_Ibrahim	1	David_Alpay	1001
Armand_Sargen	1	Daryl_Sabara	1001
Armand_Sargen	1	Kelvin_Sampson	1003
Armand_Sargen	1	Lisa_Gottsegen	1002
Atom_Egoyan	1	Bill_Stapleton	1001
Atom_Egoyan	1	Janis_Ruth_Coulter	1001
Barbara_Brezigar	2	Doris_Roberts	1002
Barbara_Felt-Miller	1	Leticia_Dolera	1001
Bart_Freundlich	1	Ernie_Grunfeld	1001
Bart_Freundlich	1	Kirsten_Gilham	1001
Benjamin_Martinez	1	Garry_McCoy	1001
Benjamin_Netanyahu	1	Maria_Callas	1001
Benjamin_Netanyahu	5	Frank_Beamer	1001
Bernard_Law	1	Liu_Xiaoqing	1001
Bernard_Law	3	Valerie_Harper	1002
Bertrand_Bonello	1	Jong_Thae_Hwa	1002
Bill_Bradley	1	Chen_Tsai-chin	1001
Bill_Bradley	1	Helen_Alvare	1001
Bill_Elliott	1	Mary_Anne_Souza	1001
Bill_Frist	5	Jimmy_Kimmel	1002
Bill_Maher	1	Brad_Russ	1001
Bill_Maher	1	Juliette_Binoche	1001
Bill_Nelson	1	Kim_Jong-Il	1003
Bill_Nelson	2	Gillian_Anderson	1001
Bill_Stapleton	1	Sedigh_Barmak	1001
Bill_Stapleton	1	Valerie_Harper	1001
Billy_Bob_Thornton	1	Herb_Dhaliwal	1001
Billy_Bob_Thornton	1	Nong_Duc_Manh	1001
Bob_Alper	1	Kevin_Millwood	1001
Bob_Graham	2	Dwayne_Wade	1001
Bob_Petrino	1	Geraldine_Chaplin	1004
Bob_Petrino	1	Jorge_Castaneda	1001
Boris_Becker	4	Julianna_Margulies	1002
Brad_Russ	1	Hana_Urushima	1001
Brad_Russ	1	Romeo_Gigli	1001
Brawley_King	1	Tom_Glavine	1002
Brian_Griese	2	Jeffrey_Archer	1002
Brian_Griese	2	Laura_Elena_Harring	1001
Brian_Griese	2	Nicolas_Lapentti	1002
Bryan_Adams	1	Michael_Kors	1001
Bryan_Adams	1	Mohamed_Seineldin	1001
Calbert_Cheaney	1	Ian_Smith	1001
Calbert_Cheaney	1	Robert_Downey_Jr	1001
Carl_Reiner	1	Hamid_Efendi	1001
Carl_Reiner	2	John_Engler	1001
Carl_Reiner	2	Prince_Rainier_III	1001
Carl_Reiner	2	Tom_Glavine	1002
Carlo_Azeglio_Ciampi	1	Francis_Ford_Coppola	1001
Carlos_Arroyo	1	Shane_Phillips	1001
Carlos_Paternina	1	Emily_Stevens	1001
Carlos_Paternina	1	Paul_Sarbanes	1001
Casey_Mears	1	Mike_Davis	1001
Casey_Mears	1	Yukiko_Okudo	1001
Cathy_Freeman	2	William_Martin	1002
Cecilia_Cheung	1	Daryl_Parks	1001
Cecilia_Cheung	1	Pascal_Affi_Nguessan	1001
Chen_Tsai-chin	1	Dereck_Whittenburg	1001
Chen_Tsai-chin	1	Mamdouh_Habib	1001
Cho_Myung-kyun	1	David_Bell	1001
Cho_Myung-kyun	1	Fernando_Sanz	1001
Cho_Myung-kyun	1	Georgia_Giddings	1001
Cho_Myung-kyun	1	Richard_Fine	1001
Choi_Yun-yong	1	Chuck_Eidson	1001
Chris_Dodd	1	Taylor_Twellman	1001
Chris_Swecker	1	Tom_Vilsack	1001
Christian_Lacroix	1	Laura_Elena_Harring	1001
Christian_Lacroix	1	Ornella_Muti	1001
Chuck_Eidson	1	Sigourney_Weaver	1001
Clare_Short	4	Don_Carcieri	1001
Coco_dEste	1	Darvis_Patton	1001
Coco_dEste	1	Melina_Kanakaredes	1001
Coco_dEste	1	Tom_Rouen	1001
Coleen_Rowley	1	Nong_Duc_Manh	1001
Corinne_Coman	2	Frank_Beamer	1001
Dale_Earnhardt_Jr	1	Nick_Reilly	1001
Dario_Franchitti	1	Henry_Castellanos	1001
Darren_Campel	1	Hilary_McKay	1001
Darvis_Patton	1	Gerard_Tronche	1001
Darvis_Patton	1	William_Macy	1004
Daryl_Parks	1	Guus_Hiddink	1001
Daryl_Sabara	1	Nick_Reilly	1001
Daryl_Sabara	1	Valentina_Tereshkova	1001
Dave_Johnson	1	Howard_Stern	1001
Dave_Tucker	1	Gary_Gitnick	1001
David_Collenette	1	Salman_Khan	1001
David_Westerfield	1	Stan_Kroenke	1001
Dean_Jacek	1	Larry_Wilmore	1001
Demi_Moore	2	Fred_Thompson	1001
Demi_Moore	2	Linus_Roache	1001
Dereck_Whittenburg	1	Lindsey_Graham	1002
Dianne_Reeves	1	Larry_Wilmore	1001
Dianne_Reeves	1	Romeo_Gigli	1001
Don_Carcieri	1	Janica_Kostelic	1001
Dora_Bakoyianni	1	Richard_Sambrook	1002
Dora_Bakoyianni	1	Saeb_Erekat	1002
Doris_Roberts	1	Nong_Duc_Manh	1001
Doug_Wilson	1	Szu_Yu_Chen	1001
Douglas_Gansler	1	Martin_Brooke	1001
Douglas_Gansler	1	Ronald_Kadish	1001
Dwayne_Wade	1	Mike_Farrar	1001
Edward_Arsenault	1	Jim_Hardin	1001
Einars_Repse	1	Minnie_Mendoza	1001
Einars_Repse	1	Tim_Blake_Nelson	1001
Elinor_Caplan	1	Hilary_McKay	1001
Eliza_Dushku	1	George_Lucas	1001
Eliza_Dushku	1	Itzhak_Perlman	1001
Emily_Stevens	1	Janez_Drnovsek	1001
Emmanuelle_Beart	2	Phil_Jackson	1001
Eric_Daze	1	Sterling_Hitchcock	1001
Erika_Christensen	2	Michael_Dell	1001
Erika_Christensen	2	Woody_Allen	1002
Eriko_Tamura	1	Georgia_Giddings	1001
Ernie_Grunfeld	1	Frank_Coraci	1001
Eugene_Melnyk	1	Mahima_Chaudhari	1001
Fatma_Kusibeh	1	Lee_Baca	1001
Federico_Trillo	1	Jonathan_Woodgate	1001
Fernando_Alonso	1	Sam_Brownback	1001
Fernando_Sanz	1	Miranda_Otto	1001
Fernando_Sanz	1	Roy_Moore	1001
Flor_Montulo	2	Juan_Pablo_Montoya	1001
Francisco_Garcia	1	Marsha_Sharp	1001
Francois_Ozon	1	Makiya_Ali_Hassan	1001
Frank_Coraci	1	Tomoko_Hagiwara	1002
Frank_Van_Ecke	1	Tsutomu_Takebe	1001
Fred_Thompson	2	Helen_Alvare	1001
Fred_Thompson	2	Sterling_Hitchcock	1001
Fred_Thompson	3	Magda_Kertasz	1001
Garry_Trudeau	1	Pat_Riley	1001
Garry_Witherall	1	Howard_Stern	1001
Garry_Witherall	1	Ingrid_Betancourt	1001
Garry_Witherall	1	Martin_Keown	1001
Gary_Gero	1	Kim_Hong-gul	1001
Gary_Gero	1	Phil_Gramm	1001
Gavin_Degraw	1	Jeffrey_Archer	1001
Gene_Robinson	3	Martha_Bowen	1002
Georgia_Giddings	1	Mahima_Chaudhari	1001
Geovani_Lapentti	1	Rodney_Rempt	1001
Geovani_Lapentti	1	Sam_Brownback	1001
Gerard_de_Cortanze	1	Mark_Wahlberg	1001
Gian_Marco	2	Kevin_Stallings	1002
Giancarlo_Fisichella	1	Maria_Callas	1001
Gideon_Yago	1	Natalie_Williams	1001
Gideon_Yago	1	Paul_William_Hurley	1001
Glenn_Plummer	1	Maria_Garcia	1001
Grant_Hackett	1	Todd_Robbins	1001
Grant_Hackett	3	Milo_Djukanovic	1003
Gray_Davis	26	Karen_Lynn_Gorney	1001
Gregg_Popovich	3	Vernon_Forrest	1001
Gregor_Gysi	1	Tomoko_Hagiwara	1001
Guy_Ritchie	2	Herb_Dhaliwal	1001
Guy_Ritchie	2	William_Macy	1001
Hamid_Efendi	1	Jimmy_Carter	1008
Hamzah_Haz	2	Hilary_McKay	1001
Harald_Ringstorff	1	Pat_Riley	1001
Harald_Ringstorff	1	Romano_Prodi	1006
Heather_Chinnock	1	Jean-Francois_Lemounier	1001
Helen_Alvare	1	Milo_Djukanovic	1001
Henry_Castellanos	1	Pamela_Anderson	1004
Henry_Castellanos	1	Tommy_Shane_Steiner	1001
Herb_Dhaliwal	1	Hung_Wan-ting	1001
Hilary_McKay	1	Kevin_Millwood	1001
Howard_Stern	1	Maria_Callas	1001
Hugo_Chavez	33	Karen_Lynn_Gorney	1001
Hugo_Chavez	60	Steve_Shiver	1001
Imam_Samudra	1	Ivana_Trump	1001
Imelda_Marcos	1	Patty_Schnyder	1004
Jack_Smith	1	Mary_Jo_Myers	1001
James_Caan	2	Paul_Sarbanes	1002
James_Comey	1	Juan_Carlos_Morales	1001
James_Comey	1	Paul_William_Hurley	1001
Jamling_Norgay	1	Zico	1002
Jan_Pronk	1	Kim_Dong-hwa	1001
Janez_Drnovsek	1	Sterling_Hitchcock	1001
Janica_Kostelic	2	Yasushi_Akashi	1001
Janice_Abreu	1	Kevin_Sorbo	1001
Jeffrey_Ashby	1	Michael_Dell	1001
Jennifer_Garner	6	Mike_Duke	1001
Jennifer_Renee_Short	1	Taylor_Twellman	1001
Jerry_Seinfeld	1	Tim_Blake_Nelson	1001
Jerry_Tarkanian	1	Thomas_Rupprath	1001
Jessica_Lange	2	Sedigh_Barmak	1001
Jim_Freudenberg	1	Nigel_Redden	1001
Jim_Freudenberg	1	Tina_Pisnik	1001
Jim_Haslett	1	Tsutomu_Takebe	1001
Jim_Otto	1	Rafiq_Hariri	1001
Jimmy_Gurule	1	Terry_McAuliffe	1001
Jodie_Foster	3	Joe_Pantoliano	1001
John_Herrington	1	Luis_Ernesto_Derbez_Bautista	1002
John_Richardson	1	Yasushi_Akashi	1001
John_Snow	17	Se_Hyuk_Joo	1001
Jonathan_Arden	1	Joseph_Ralston	1001
Jorge_Castaneda	1	Robert_Fico	1001
Jose_Rosado	1	Micky_Arison	1001
Joseph_Blatter	1	Ronald_Kadish	1001
Joseph_Ralston	2	Juan_Pablo_Montoya	1005
Joseph_Ralston	2	Yoshiyuki_Kamei	1001
Juliette_Binoche	1	Matthew_Broderick	1003
Julio_De_Brun	1	Patty_Schnyder	1001
Julio_De_Brun	1	Vernon_Forrest	1001
Justin_Guarini	2	Prince_Edward	1001
Kate_Winslet	2	Mike_Duke	1001
Katie_Wagner	1	Stan_Kroenke	1001
Keith_Lowen	1	Robert_Evans	1002
Keith_Lowen	1	Silvia_Farina_Elia	1002
Ken_Loach	1	Taku_Yamasaki	1001
Kevin_Crane	1	Mike_Krzyzewski	1002
Kevin_Millwood	1	Mitchell_Crooks	1001
Kim_Clijsters	4	Martin_Short	1001
Kim_Hong-gul	1	Milo_Djukanovic	1003
Kim_Jong-Il	3	Rick_Reed	1001
Lance_Armstrong	9	Maria_Garcia	1001
Laurent_Jalabert	2	Vincent_Gallo	1001
Leon_LaPorte	1	Ted_Williams	1001
Leon_LaPorte	1	Tommy_Thompson	1005
Leonardo_Fernandez	1	Romano_Prodi	1007
Leticia_Dolera	1	Tom_Glavine	1001
Lorraine_Bracco	1	Momcilo_Perisic	1001
Luis_Ernesto_Derbez_Bautista	1	Tyra_Banks	1001
Maria_Burks	1	Todd_Parrott	1001
Mario_Lemieux	1	Stan_Kroenke	1001
Mark_Everson	1	Martin_Sheen	1002
Marquier_Montano_Contreras	1	SJ_Twu	1001
Marsha_Sharp	1	Steve_Shiver	1001
Martin_Cauchon	2	Vitali_Klitschko	1003
Martin_Hoellwarth	2	Mary_Katherine_Smart	1001
Martina_Hingis	1	Terry_McAuliffe	1002
Melina_Kanakaredes	1	Ornella_Muti	1001
Michael_Dell	1	Mike_Duke	1001
Michael_Dell	1	Nigel_Redden	1001
Michael_Richards	1	Silvia_Farina_Elia	1003
Milan_Kucan	1	Salman_Khan	1001
Nancy_Kerrigan	1	Sam_Brownback	1001
Naomi_Campbell	1	Tom_Ridge	1016
Nina_Jacobson	1	Portia_de_Rossi	1001
Noah_Wyle	3	Robbie_Coltrane	1001
Nora_Bendijo	1	William_Martin	1002
Nursultan_Nazarbayev	1	Robert_Bonner	1001
Pascal_Affi_Nguessan	1	Tom_Moss	1001
Pat_Summitt	1	Paul_Celluci	1001
Patty_Schnyder	3	Pernilla_Bjorn	1001
Patty_Schnyder	3	Prince_Philippe	1001
Patty_Schnyder	4	Ricardo_Lagos	1025
Pervez_Musharraf	3	Richard_Rodriguez	1001
Phil_Gramm	2	Stefan_Tafrov	1001
Rachel_Kempson	1	Zorica_Radovic	1001
Rachel_Roy	1	Steve_Shiver	1001
Richard_Fine	1	Richard_Rodriguez	1001
Rick_Reed	1	Ruth_Bader_Ginsburg	1001
Robbie_Naish	1	Zhong_Nanshan	1001
Robert_Bonner	2	Vincent_Brooks	1002
Robert_Downey_Jr	1	Tommy_Shane_Steiner	1001
Robert_Evans	1	Todd_Robbins	1001
Romeo_Gigli	1	Tom_Harkin	1004
Saeb_Erekat	1	Tom_Coverdale	1002
Se_Hyuk_Joo	1	Tom_Rouen	1001
Sergio_Garcia	2	Thomas_Watjen	1001
Simon_Yam	1	Terry_McAuliffe	1003
Simon_Yam	1	Tommy_Haas	1005
Stan_Kroenke	1	William_Hyde	1001
Steve_Ballmer	1	Tina_Pisnik	1001
Steve_Ballmer	2	Vincent_Gallo	1003
Steve_Shiver	1	Thomas_Rupprath	1003
Tina_Fey	1	Todd_Parrott	1001
Abdullah_Gul	1	1006
Abdullah_Gul	1	1008
Abdullah_Gul	7	1014
Abdullah_Gul	9	1012
Abdullah_Gul	9	1015
Adolfo_Rodriguez_Saa	1	1002
Adrien_Brody	2	1003
Adrien_Brody	2	1012
Adrien_Brody	5	1010
Adrien_Brody	7	1008
Al_Sharpton	1	1004
Al_Sharpton	2	1004
Al_Sharpton	2	1007
Al_Sharpton	3	1004
Alexandra_Stevenson	1	1002
Alexandra_Stevenson	1	1003
Alexandra_Vodjanikova	1	1002
Alicia_Silverstone	1	1002
Ana_Palacio	3	1007
Ana_Palacio	6	1008
Andre_Agassi	1	1005
Andre_Agassi	2	1016
Andre_Agassi	4	1033
Andre_Agassi	9	1025
Andre_Agassi	17	1025
Anna_Kournikova	2	1003
Anna_Kournikova	2	1012
Anna_Kournikova	3	1008
Anna_Kournikova	7	1008
Anna_Kournikova	7	1011
Annette_Lu	1	1002
Arnold_Palmer	1	1003
Arnold_Palmer	2	1003
Aron_Ralston	1	1002
Arturo_Gatti	2	1003
Bashar_Assad	1	1003
Bashar_Assad	2	1004
Bernardo_Segura	1	1002
Bill_Gates	3	1016
Bill_Gates	7	1015
Bill_Gates	11	1013
Bill_Gates	13	1017
Bo_Pelini	1	1002
Bob_Stoops	2	1004
Bob_Stoops	2	1005
Bobby_Robson	1	1002
Bode_Miller	1	1002
Caroline_Kennedy	1	1003
Caroline_Kennedy	2	1003
Catherine_Zeta-Jones	1	1011
Catherine_Zeta-Jones	4	1009
Celso_Amorim	1	1002
Chan_Gailey	1	1002
Chanda_Rubin	2	1005
Chanda_Rubin	4	1005
Charles_Bronson	1	1002
Charles_Kartman	1	1002
Charles_Schumer	1	1002
Chris_Rock	1	1002
Christine_Baumgartner	1	1002
Christine_Baumgartner	2	1004
Colin_Farrell	1	1007
Colin_Farrell	2	1007
Colin_Farrell	3	1006
Colin_Farrell	4	1008
Dalai_Lama	1	1002
Daniel_Radcliffe	1	1004
Daryl_Hannah	1	1002
David_Anderson	1	1002
David_Anderson	1	1003
David_Beckham	1	1015
David_Beckham	9	1016
David_Beckham	11	1029
David_Beckham	13	1029
David_Beckham	15	1024
David_Beckham	20	1027
David_Beckham	27	1031
Denzel_Washington	2	1004
Denzel_Washington	3	1005
Dianne_Feinstein	1	1002
Dianne_Feinstein	1	1003
Dianne_Feinstein	2	1003
Dick_Clark	1	1002
Dick_Clark	1	1003
Donald_Fehr	1	1003
Donald_Fehr	1	1004
Donald_Fehr	2	1003
Donald_Fehr	3	1004
Dwayne_Johnson	1	1002
Ed_Rosenthal	1	1002
Erik_Morales	1	1002
Erik_Morales	2	1003
Evan_Rachel_Wood	2	1003
Evander_Holyfield	1	1002
Eve_Pelletier	1	1002
Farouk_al-Sharaa	1	1002
Farouk_al-Sharaa	1	1003
Farouk_al-Sharaa	2	1003
Frank_Cassell	1	1002
Frank_Cassell	1	1003
Fujio_Cho	1	1004
Fujio_Cho	2	1005
Fujio_Cho	3	1005
Fujio_Cho	4	1006
Fujio_Cho	5	1006
Gao_Qiang	1	1002
Geoff_Hoon	1	1002
Geoff_Hoon	3	1004
Geoff_Hoon	4	1005
George_Brumley	1	1002
George_Papandreou	1	1002
George_Papandreou	1	1003
George_Papandreou	1	1004
George_Papandreou	3	1004
Gloria_Allred	1	1002
Greg_Ostertag	1	1002
Greg_Owen	1	1002
Hanan_Ashrawi	1	1002
Harry_Kalas	1	1002
Hayley_Tullett	1	1002
Howard_Dean	1	1003
Howard_Dean	1	1007
Howard_Dean	2	1008
Howard_Dean	4	1005
Howard_Dean	5	1012
Hu_Jintao	4	1014
Hu_Jintao	5	1012
Hu_Jintao	5	1015
Hu_Jintao	11	1013
Ian_McKellen	1	1003
Ibrahim_Jaafari	1	1002
Isabella_Rossellini	1	1003
Ishaq_Shahryar	1	1002
Ismail_Merchant	1	1002
Jacques_Chirac	2	1043
Jacques_Chirac	19	1028
James_Cameron	1	1003
James_McGreevey	1	1003
James_McGreevey	1	1004
Jason_Alexander	1	1002
Jason_Kidd	2	1008
Jason_Kidd	3	1008
